,,,Range,,
80,,,,,
79,,,,,
77,,,,,
78,,,,,
93,,,,,
85,,,,,
76,,,,,
83,,,,,
81,,,,,
13,,,,,
94,,,,,
91,,,,,
80,,,,,
93,,,,,
85,,,,,
22,,,,,
78,,,,,
99,,,,,
91,,,,,
86,,,,,
82,,,,,
80,,,,,
78,,,,,
89,,,,,
90,,,,,
82,,,,,
0,,,,,
20,,,,,
27,,,,,
80,,,,,
95,,,,,
17,,,,,
91,,,,,
88,,,,,
82,,,,,
8,,,,,
79,,,,,
14,,,,,
18,,,,,
94,,,,,
80,,,,,
76,,,,,
79,,,,,
84,,,,,
13,,,,,
78,,,,,
19,,,,,
77,,,,,
1,,,,,
79,,,,,
12,,,,,
24,,,,,
91,,,,,
12,,,,,
10,,,,,
73,,,,,
34,,,,,
9,,,,,
93,,,,,
89,,,,,
84,,,,,
83,,,,,
90,,,,,
92,,,,,
14,,,,,
46,,,,,
99,,,,,
80,,,,,
14,,,,,
30,,,,,
34,,,,,
9,,,,,
94,,,,,
0,,,,,
95,,,,,
8,,,,,
98,,,,,
15,,,,,
83,,,,,
35,,,,,
43,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
80,,,,,
79,,,,,
78,,,,,
84,,,,,
84,,,,,
79,,,,,
92,,,,,
78,,,,,
87,,,,,
86,,,,,
83,,,,,
77,,,,,
78,,,,,
91,,,,,
80,,,,,
85,,,,,
91,,,,,
90,,,,,
83,,,,,
80,,,,,
86,,,,,
81,,,,,
78,,,,,
87,,,,,
6,,,,,
90,,,,,
81,,,,,
91,,,,,
96,,,,,
98,,,,,
20,,,,,
98,,,,,
96,,,,,
83,,,,,
88,,,,,
76,,,,,
83,,,,,
90,,,,,
6,,,,,
95,,,,,
92,,,,,
26,,,,,
97,,,,,
37,,,,,
32,,,,,
80,,,,,
92,,,,,
98,,,,,
90,,,,,
3,,,,,
18,,,,,
88,,,,,
95,,,,,
91,,,,,
84,,,,,
95,,,,,
11,,,,,
43,,,,,
26,,,,,
13,,,,,
83,,,,,
78,,,,,
96,,,,,
87,,,,,
80,,,,,
2,,,,,
93,,,,,
8,,,,,
0,,,,,
11,,,,,
76,,,,,
8,,,,,
7,,,,,
98,,,,,
86,,,,,
3,,,,,
86,,,,,
85,,,,,
6,,,,,
88,,,,,
2,,,,,
22,,,,,
10,,,,,
80,,,,,
18,,,,,
55,,,,,
18,,,,,
36,,,,,
16,,,,,
98,,,,,
21,,,,,
52,,,,,
0,,,,,
81,,,,,
4,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
80,,,,,
77,,,,,
78,,,,,
86,,,,,
80,,,,,
84,,,,,
90,,,,,
82,,,,,
91,,,,,
83,,,,,
77,,,,,
82,,,,,
80,,,,,
91,,,,,
87,,,,,
88,,,,,
90,,,,,
92,,,,,
92,,,,,
95,,,,,
76,,,,,
78,,,,,
94,,,,,
98,,,,,
83,,,,,
79,,,,,
4,,,,,
81,,,,,
79,,,,,
96,,,,,
87,,,,,
78,,,,,
85,,,,,
96,,,,,
85,,,,,
17,,,,,
97,,,,,
86,,,,,
8,,,,,
81,,,,,
8,,,,,
83,,,,,
91,,,,,
86,,,,,
3,,,,,
77,,,,,
78,,,,,
12,,,,,
97,,,,,
28,,,,,
96,,,,,
22,,,,,
11,,,,,
12,,,,,
93,,,,,
38,,,,,
2,,,,,
80,,,,,
33,,,,,
99,,,,,
88,,,,,
30,,,,,
13,,,,,
6,,,,,
81,,,,,
43,,,,,
61,,,,,
88,,,,,
18,,,,,
21,,,,,
6,,,,,
88,,,,,
83,,,,,
17,,,,,
92,,,,,
16,,,,,
60,,,,,
4,,,,,
95,,,,,
34,,,,,
76,,,,,
4,,,,,
2,,,,,
37,,,,,
26,,,,,
92,,,,,
19,,,,,
18,,,,,
34,,,,,
36,,,,,
17,,,,,
79,,,,,
4,,,,,
28,,,,,
96,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
77,,,,,
78,,,,,
80,,,,,
80,,,,,
80,,,,,
79,,,,,
77,,,,,
83,,,,,
84,,,,,
94,,,,,
91,,,,,
79,,,,,
82,,,,,
7,,,,,
80,,,,,
76,,,,,
3,,,,,
93,,,,,
88,,,,,
5,,,,,
99,,,,,
77,,,,,
86,,,,,
90,,,,,
82,,,,,
92,,,,,
81,,,,,
79,,,,,
99,,,,,
82,,,,,
93,,,,,
18,,,,,
96,,,,,
11,,,,,
99,,,,,
87,,,,,
83,,,,,
79,,,,,
3,,,,,
88,,,,,
29,,,,,
89,,,,,
90,,,,,
96,,,,,
99,,,,,
26,,,,,
84,,,,,
26,,,,,
11,,,,,
85,,,,,
18,,,,,
80,,,,,
3,,,,,
18,,,,,
80,,,,,
88,,,,,
77,,,,,
87,,,,,
25,,,,,
96,,,,,
2,,,,,
18,,,,,
42,,,,,
18,,,,,
80,,,,,
92,,,,,
97,,,,,
1,,,,,
98,,,,,
0,,,,,
62,,,,,
11,,,,,
83,,,,,
85,,,,,
18,,,,,
24,,,,,
96,,,,,
5,,,,,
79,,,,,
70,,,,,
84,,,,,
77,,,,,
39,,,,,
79,,,,,
4,,,,,
19,,,,,
22,,,,,
98,,,,,
96,,,,,
92,,,,,
27,,,,,
5,,,,,
63,,,,,
83,,,,,
90,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
76,,,,,
77,,,,,
79,,,,,
79,,,,,
83,,,,,
82,,,,,
80,,,,,
86,,,,,
86,,,,,
86,,,,,
86,,,,,
77,,,,,
79,,,,,
82,,,,,
84,,,,,
82,,,,,
78,,,,,
87,,,,,
82,,,,,
80,,,,,
92,,,,,
4,,,,,
82,,,,,
87,,,,,
80,,,,,
98,,,,,
98,,,,,
2,,,,,
82,,,,,
80,,,,,
76,,,,,
85,,,,,
84,,,,,
81,,,,,
96,,,,,
22,,,,,
96,,,,,
88,,,,,
5,,,,,
20,,,,,
89,,,,,
96,,,,,
12,,,,,
4,,,,,
98,,,,,
14,,,,,
12,,,,,
91,,,,,
88,,,,,
97,,,,,
11,,,,,
87,,,,,
78,,,,,
81,,,,,
39,,,,,
76,,,,,
90,,,,,
85,,,,,
88,,,,,
84,,,,,
90,,,,,
44,,,,,
96,,,,,
94,,,,,
87,,,,,
90,,,,,
13,,,,,
12,,,,,
17,,,,,
49,,,,,
83,,,,,
77,,,,,
29,,,,,
93,,,,,
88,,,,,
40,,,,,
97,,,,,
10,,,,,
81,,,,,
17,,,,,
96,,,,,
91,,,,,
10,,,,,
21,,,,,
20,,,,,
7,,,,,
49,,,,,
92,,,,,
55,,,,,
92,,,,,
38,,,,,
85,,,,,
94,,,,,
8,,,,,
21,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
76,,,,,
81,,,,,
78,,,,,
86,,,,,
80,,,,,
76,,,,,
80,,,,,
78,,,,,
79,,,,,
83,,,,,
78,,,,,
77,,,,,
81,,,,,
80,,,,,
89,,,,,
83,,,,,
79,,,,,
85,,,,,
90,,,,,
95,,,,,
93,,,,,
77,,,,,
87,,,,,
98,,,,,
88,,,,,
86,,,,,
83,,,,,
83,,,,,
88,,,,,
87,,,,,
89,,,,,
77,,,,,
23,,,,,
98,,,,,
26,,,,,
86,,,,,
77,,,,,
98,,,,,
95,,,,,
89,,,,,
21,,,,,
91,,,,,
3,,,,,
81,,,,,
98,,,,,
80,,,,,
86,,,,,
98,,,,,
4,,,,,
94,,,,,
29,,,,,
78,,,,,
31,,,,,
93,,,,,
1,,,,,
3,,,,,
89,,,,,
6,,,,,
3,,,,,
26,,,,,
87,,,,,
39,,,,,
93,,,,,
2,,,,,
0,,,,,
53,,,,,
87,,,,,
91,,,,,
92,,,,,
19,,,,,
35,,,,,
3,,,,,
78,,,,,
15,,,,,
37,,,,,
98,,,,,
84,,,,,
89,,,,,
5,,,,,
95,,,,,
33,,,,,
24,,,,,
74,,,,,
35,,,,,
87,,,,,
27,,,,,
84,,,,,
18,,,,,
30,,,,,
13,,,,,
43,,,,,
90,,,,,
75,,,,,
12,,,,,
16,,,,,
77,,,,,
78,,,,,
79,,,,,
85,,,,,
80,,,,,
77,,,,,
78,,,,,
87,,,,,
83,,,,,
78,,,,,
81,,,,,
81,,,,,
81,,,,,
82,,,,,
87,,,,,
78,,,,,
85,,,,,
93,,,,,
84,,,,,
76,,,,,
82,,,,,
5,,,,,
96,,,,,
25,,,,,
94,,,,,
79,,,,,
94,,,,,
86,,,,,
86,,,,,
97,,,,,
78,,,,,
79,,,,,
87,,,,,
81,,,,,
81,,,,,
87,,,,,
90,,,,,
89,,,,,
44,,,,,
12,,,,,
29,,,,,
96,,,,,
82,,,,,
84,,,,,
4,,,,,
35,,,,,
81,,,,,
96,,,,,
80,,,,,
99,,,,,
78,,,,,
99,,,,,
94,,,,,
90,,,,,
12,,,,,
14,,,,,
87,,,,,
12,,,,,
44,,,,,
16,,,,,
78,,,,,
20,,,,,
85,,,,,
1,,,,,
13,,,,,
80,,,,,
86,,,,,
89,,,,,
50,,,,,
94,,,,,
80,,,,,
41,,,,,
89,,,,,
75,,,,,
87,,,,,
78,,,,,
13,,,,,
33,,,,,
30,,,,,
83,,,,,
26,,,,,
32,,,,,
38,,,,,
84,,,,,
38,,,,,
2,,,,,
36,,,,,
39,,,,,
98,,,,,
49,,,,,
8,,,,,
36,,,,,
3,,,,,
3,,,,,
84,,,,,
59,,,,,
81,,,,,
38,,,,,
98,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
80,,,,,
77,,,,,
79,,,,,
88,,,,,
80,,,,,
77,,,,,
78,,,,,
78,,,,,
82,,,,,
86,,,,,
4,,,,,
82,,,,,
78,,,,,
84,,,,,
81,,,,,
78,,,,,
79,,,,,
78,,,,,
85,,,,,
3,,,,,
98,,,,,
98,,,,,
1,,,,,
84,,,,,
88,,,,,
97,,,,,
77,,,,,
86,,,,,
93,,,,,
80,,,,,
97,,,,,
16,,,,,
78,,,,,
82,,,,,
11,,,,,
85,,,,,
6,,,,,
96,,,,,
82,,,,,
84,,,,,
76,,,,,
81,,,,,
87,,,,,
95,,,,,
88,,,,,
94,,,,,
88,,,,,
87,,,,,
98,,,,,
91,,,,,
76,,,,,
22,,,,,
26,,,,,
13,,,,,
14,,,,,
82,,,,,
80,,,,,
16,,,,,
98,,,,,
91,,,,,
81,,,,,
37,,,,,
99,,,,,
12,,,,,
32,,,,,
19,,,,,
41,,,,,
78,,,,,
29,,,,,
81,,,,,
97,,,,,
66,,,,,
91,,,,,
13,,,,,
27,,,,,
32,,,,,
45,,,,,
10,,,,,
87,,,,,
37,,,,,
94,,,,,
34,,,,,
5,,,,,
95,,,,,
82,,,,,
5,,,,,
77,,,,,
87,,,,,
86,,,,,
72,,,,,
97,,,,,
57,,,,,
87,,,,,
13,,,,,
9,,,,,
77,,,,,
78,,,,,
79,,,,,
82,,,,,
78,,,,,
78,,,,,
78,,,,,
80,,,,,
83,,,,,
82,,,,,
79,,,,,
81,,,,,
79,,,,,
80,,,,,
83,,,,,
77,,,,,
86,,,,,
87,,,,,
80,,,,,
76,,,,,
77,,,,,
86,,,,,
81,,,,,
95,,,,,
90,,,,,
93,,,,,
85,,,,,
86,,,,,
92,,,,,
91,,,,,
80,,,,,
92,,,,,
13,,,,,
1,,,,,
3,,,,,
81,,,,,
6,,,,,
79,,,,,
95,,,,,
92,,,,,
95,,,,,
1,,,,,
87,,,,,
15,,,,,
1,,,,,
4,,,,,
20,,,,,
91,,,,,
1,,,,,
8,,,,,
20,,,,,
1,,,,,
64,,,,,
32,,,,,
82,,,,,
79,,,,,
11,,,,,
3,,,,,
90,,,,,
91,,,,,
88,,,,,
16,,,,,
84,,,,,
13,,,,,
92,,,,,
56,,,,,
89,,,,,
4,,,,,
98,,,,,
27,,,,,
83,,,,,
91,,,,,
26,,,,,
13,,,,,
11,,,,,
94,,,,,
95,,,,,
55,,,,,
98,,,,,
96,,,,,
37,,,,,
92,,,,,
2,,,,,
5,,,,,
38,,,,,
86,,,,,
6,,,,,
95,,,,,
15,,,,,
32,,,,,
8,,,,,
17,,,,,
17,,,,,
8,,,,,
6,,,,,
13,,,,,
34,,,,,
90,,,,,
32,,,,,
77,,,,,
78,,,,,
79,,,,,
81,,,,,
77,,,,,
77,,,,,
78,,,,,
79,,,,,
83,,,,,
76,,,,,
77,,,,,
78,,,,,
83,,,,,
90,,,,,
84,,,,,
77,,,,,
83,,,,,
83,,,,,
87,,,,,
78,,,,,
78,,,,,
81,,,,,
81,,,,,
96,,,,,
82,,,,,
6,,,,,
88,,,,,
89,,,,,
0,,,,,
91,,,,,
13,,,,,
94,,,,,
80,,,,,
89,,,,,
23,,,,,
89,,,,,
86,,,,,
89,,,,,
1,,,,,
3,,,,,
81,,,,,
82,,,,,
5,,,,,
81,,,,,
80,,,,,
7,,,,,
91,,,,,
2,,,,,
5,,,,,
86,,,,,
23,,,,,
78,,,,,
5,,,,,
20,,,,,
94,,,,,
78,,,,,
9,,,,,
79,,,,,
19,,,,,
86,,,,,
84,,,,,
2,,,,,
32,,,,,
18,,,,,
21,,,,,
86,,,,,
96,,,,,
80,,,,,
81,,,,,
17,,,,,
1,,,,,
95,,,,,
82,,,,,
80,,,,,
40,,,,,
26,,,,,
99,,,,,
68,,,,,
88,,,,,
26,,,,,
29,,,,,
82,,,,,
93,,,,,
88,,,,,
14,,,,,
21,,,,,
83,,,,,
46,,,,,
50,,,,,
83,,,,,
2,,,,,
88,,,,,
50,,,,,
84,,,,,
10,,,,,
77,,,,,
9,,,,,
90,,,,,
7,,,,,
77,,,,,
78,,,,,
79,,,,,
81,,,,,
76,,,,,
81,,,,,
82,,,,,
83,,,,,
90,,,,,
77,,,,,
93,,,,,
83,,,,,
79,,,,,
86,,,,,
83,,,,,
81,,,,,
89,,,,,
80,,,,,
80,,,,,
82,,,,,
77,,,,,
87,,,,,
98,,,,,
97,,,,,
80,,,,,
87,,,,,
82,,,,,
6,,,,,
86,,,,,
88,,,,,
99,,,,,
78,,,,,
1,,,,,
85,,,,,
80,,,,,
94,,,,,
79,,,,,
82,,,,,
8,,,,,
99,,,,,
90,,,,,
0,,,,,
79,,,,,
85,,,,,
24,,,,,
6,,,,,
93,,,,,
88,,,,,
30,,,,,
6,,,,,
17,,,,,
8,,,,,
5,,,,,
27,,,,,
9,,,,,
14,,,,,
90,,,,,
36,,,,,
82,,,,,
83,,,,,
36,,,,,
54,,,,,
79,,,,,
80,,,,,
79,,,,,
87,,,,,
87,,,,,
96,,,,,
10,,,,,
12,,,,,
81,,,,,
61,,,,,
5,,,,,
98,,,,,
29,,,,,
24,,,,,
20,,,,,
94,,,,,
91,,,,,
84,,,,,
1,,,,,
24,,,,,
22,,,,,
3,,,,,
42,,,,,
91,,,,,
3,,,,,
3,,,,,
87,,,,,
79,,,,,
83,,,,,
57,,,,,
0,,,,,
36,,,,,
13,,,,,
78,,,,,
82,,,,,
9,,,,,
9,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
76,,,,,
77,,,,,
79,,,,,
82,,,,,
81,,,,,
79,,,,,
85,,,,,
81,,,,,
79,,,,,
90,,,,,
87,,,,,
78,,,,,
82,,,,,
89,,,,,
4,,,,,
92,,,,,
96,,,,,
80,,,,,
93,,,,,
80,,,,,
98,,,,,
82,,,,,
86,,,,,
84,,,,,
80,,,,,
94,,,,,
94,,,,,
91,,,,,
95,,,,,
10,,,,,
79,,,,,
12,,,,,
10,,,,,
0,,,,,
99,,,,,
95,,,,,
3,,,,,
97,,,,,
88,,,,,
11,,,,,
83,,,,,
95,,,,,
12,,,,,
98,,,,,
16,,,,,
82,,,,,
1,,,,,
99,,,,,
89,,,,,
0,,,,,
99,,,,,
26,,,,,
3,,,,,
88,,,,,
95,,,,,
89,,,,,
79,,,,,
13,,,,,
9,,,,,
24,,,,,
21,,,,,
83,,,,,
44,,,,,
23,,,,,
97,,,,,
19,,,,,
33,,,,,
96,,,,,
32,,,,,
88,,,,,
95,,,,,
84,,,,,
88,,,,,
22,,,,,
83,,,,,
36,,,,,
99,,,,,
8,,,,,
81,,,,,
28,,,,,
87,,,,,
5,,,,,
79,,,,,
36,,,,,
99,,,,,
26,,,,,
93,,,,,
16,,,,,
88,,,,,
93,,,,,
9,,,,,
81,,,,,
15,,,,,
89,,,,,
23,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
79,,,,,
77,,,,,
85,,,,,
79,,,,,
80,,,,,
76,,,,,
77,,,,,
87,,,,,
90,,,,,
91,,,,,
76,,,,,
82,,,,,
87,,,,,
89,,,,,
81,,,,,
94,,,,,
79,,,,,
3,,,,,
79,,,,,
86,,,,,
99,,,,,
91,,,,,
81,,,,,
1,,,,,
80,,,,,
80,,,,,
86,,,,,
78,,,,,
81,,,,,
82,,,,,
85,,,,,
82,,,,,
83,,,,,
29,,,,,
13,,,,,
2,,,,,
4,,,,,
1,,,,,
99,,,,,
93,,,,,
84,,,,,
19,,,,,
84,,,,,
98,,,,,
25,,,,,
78,,,,,
1,,,,,
35,,,,,
86,,,,,
28,,,,,
90,,,,,
80,,,,,
87,,,,,
98,,,,,
90,,,,,
5,,,,,
6,,,,,
78,,,,,
80,,,,,
90,,,,,
7,,,,,
5,,,,,
5,,,,,
16,,,,,
6,,,,,
89,,,,,
8,,,,,
94,,,,,
79,,,,,
80,,,,,
40,,,,,
21,,,,,
40,,,,,
22,,,,,
89,,,,,
5,,,,,
6,,,,,
85,,,,,
31,,,,,
87,,,,,
15,,,,,
22,,,,,
69,,,,,
55,,,,,
44,,,,,
5,,,,,
36,,,,,
80,,,,,
60,,,,,
56,,,,,
14,,,,,
91,,,,,
39,,,,,
18,,,,,
80,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
76,,,,,
79,,,,,
78,,,,,
81,,,,,
82,,,,,
76,,,,,
78,,,,,
79,,,,,
80,,,,,
84,,,,,
82,,,,,
80,,,,,
78,,,,,
83,,,,,
81,,,,,
77,,,,,
77,,,,,
86,,,,,
82,,,,,
88,,,,,
97,,,,,
20,,,,,
82,,,,,
87,,,,,
88,,,,,
85,,,,,
82,,,,,
98,,,,,
86,,,,,
2,,,,,
6,,,,,
17,,,,,
92,,,,,
85,,,,,
81,,,,,
76,,,,,
4,,,,,
91,,,,,
94,,,,,
95,,,,,
22,,,,,
92,,,,,
96,,,,,
96,,,,,
4,,,,,
19,,,,,
80,,,,,
92,,,,,
2,,,,,
90,,,,,
83,,,,,
17,,,,,
80,,,,,
88,,,,,
97,,,,,
92,,,,,
90,,,,,
9,,,,,
96,,,,,
97,,,,,
96,,,,,
67,,,,,
98,,,,,
33,,,,,
93,,,,,
81,,,,,
92,,,,,
4,,,,,
11,,,,,
11,,,,,
0,,,,,
2,,,,,
92,,,,,
34,,,,,
95,,,,,
77,,,,,
6,,,,,
88,,,,,
49,,,,,
81,,,,,
82,,,,,
52,,,,,
24,,,,,
7,,,,,
98,,,,,
25,,,,,
35,,,,,
34,,,,,
96,,,,,
3,,,,,
29,,,,,
46,,,,,
63,,,,,
92,,,,,
72,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
77,,,,,
78,,,,,
78,,,,,
86,,,,,
80,,,,,
78,,,,,
83,,,,,
83,,,,,
84,,,,,
3,,,,,
88,,,,,
84,,,,,
85,,,,,
90,,,,,
90,,,,,
81,,,,,
87,,,,,
89,,,,,
90,,,,,
89,,,,,
94,,,,,
86,,,,,
86,,,,,
88,,,,,
83,,,,,
93,,,,,
78,,,,,
81,,,,,
98,,,,,
80,,,,,
96,,,,,
79,,,,,
95,,,,,
16,,,,,
92,,,,,
81,,,,,
15,,,,,
25,,,,,
5,,,,,
82,,,,,
13,,,,,
12,,,,,
80,,,,,
95,,,,,
13,,,,,
20,,,,,
91,,,,,
29,,,,,
91,,,,,
83,,,,,
98,,,,,
24,,,,,
37,,,,,
22,,,,,
90,,,,,
89,,,,,
95,,,,,
87,,,,,
82,,,,,
26,,,,,
11,,,,,
41,,,,,
9,,,,,
18,,,,,
39,,,,,
98,,,,,
39,,,,,
10,,,,,
83,,,,,
84,,,,,
3,,,,,
3,,,,,
35,,,,,
95,,,,,
82,,,,,
87,,,,,
93,,,,,
27,,,,,
62,,,,,
7,,,,,
12,,,,,
15,,,,,
15,,,,,
96,,,,,
1,,,,,
95,,,,,
43,,,,,
87,,,,,
1,,,,,
97,,,,,
72,,,,,
11,,,,,
5,,,,,
80,,,,,
40,,,,,
77,,,,,
78,,,,,
79,,,,,
83,,,,,
76,,,,,
80,,,,,
79,,,,,
81,,,,,
87,,,,,
76,,,,,
77,,,,,
81,,,,,
79,,,,,
81,,,,,
84,,,,,
87,,,,,
85,,,,,
87,,,,,
87,,,,,
85,,,,,
86,,,,,
78,,,,,
82,,,,,
80,,,,,
92,,,,,
90,,,,,
85,,,,,
2,,,,,
97,,,,,
81,,,,,
3,,,,,
90,,,,,
82,,,,,
90,,,,,
82,,,,,
87,,,,,
88,,,,,
7,,,,,
88,,,,,
91,,,,,
87,,,,,
2,,,,,
80,,,,,
97,,,,,
3,,,,,
98,,,,,
24,,,,,
90,,,,,
25,,,,,
49,,,,,
14,,,,,
98,,,,,
88,,,,,
30,,,,,
79,,,,,
12,,,,,
88,,,,,
99,,,,,
13,,,,,
1,,,,,
6,,,,,
1,,,,,
0,,,,,
90,,,,,
93,,,,,
57,,,,,
88,,,,,
18,,,,,
81,,,,,
8,,,,,
4,,,,,
23,,,,,
79,,,,,
13,,,,,
85,,,,,
72,,,,,
6,,,,,
97,,,,,
21,,,,,
8,,,,,
4,,,,,
7,,,,,
87,,,,,
96,,,,,
84,,,,,
97,,,,,
42,,,,,
90,,,,,
99,,,,,
83,,,,,
13,,,,,
0,,,,,
3,,,,,
87,,,,,
35,,,,,
80,,,,,
4,,,,,
28,,,,,
30,,,,,
77,,,,,
78,,,,,
79,,,,,
81,,,,,
77,,,,,
79,,,,,
84,,,,,
84,,,,,
81,,,,,
78,,,,,
77,,,,,
81,,,,,
93,,,,,
80,,,,,
80,,,,,
83,,,,,
79,,,,,
94,,,,,
86,,,,,
95,,,,,
2,,,,,
83,,,,,
0,,,,,
80,,,,,
76,,,,,
97,,,,,
83,,,,,
97,,,,,
0,,,,,
82,,,,,
81,,,,,
6,,,,,
95,,,,,
3,,,,,
83,,,,,
84,,,,,
86,,,,,
79,,,,,
87,,,,,
76,,,,,
86,,,,,
83,,,,,
22,,,,,
85,,,,,
5,,,,,
6,,,,,
1,,,,,
93,,,,,
13,,,,,
6,,,,,
1,,,,,
1,,,,,
82,,,,,
11,,,,,
96,,,,,
37,,,,,
22,,,,,
19,,,,,
18,,,,,
94,,,,,
1,,,,,
98,,,,,
5,,,,,
13,,,,,
83,,,,,
83,,,,,
26,,,,,
36,,,,,
66,,,,,
12,,,,,
24,,,,,
4,,,,,
81,,,,,
94,,,,,
47,,,,,
14,,,,,
0,,,,,
79,,,,,
2,,,,,
30,,,,,
2,,,,,
38,,,,,
99,,,,,
7,,,,,
36,,,,,
83,,,,,
80,,,,,
91,,,,,
8,,,,,
11,,,,,
31,,,,,
34,,,,,
81,,,,,
13,,,,,
29,,,,,
78,,,,,
25,,,,,
11,,,,,
92,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
76,,,,,
77,,,,,
82,,,,,
